epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45469,1.30631,2.81611,1.56763,0.00333,1,0.94191,0.72917,0.73538,2.90998,1.10451,8e-05,8e-05,8e-05
2,13.5062,1.17844,2.43997,1.50672,0.00333,1,0.995,0.79939,0.62367,2.80312,1.01171,0.000176436,0.000176436,0.000176436
3,19.9362,0.97656,1.86254,1.37537,0.00333,1,0.995,0.82256,0.62602,2.58983,1.03715,0.000268912,0.000268912,0.000268912
4,26.1769,1.05794,1.62647,1.36687,1,0.69716,0.94761,0.75209,0.76246,2.58651,1.15646,0.000357428,0.000357428,0.000357428
5,32.4931,1.17511,1.47306,1.42701,0.00915,1,0.8872,0.62438,0.86778,2.79601,1.19624,0.000441984,0.000441984,0.000441984
6,38.5922,1.01711,1.48936,1.33647,0.01143,1,0.86851,0.55182,0.97104,2.85703,1.2932,0.00052258,0.00052258,0.00052258
7,44.561,1.09324,1.35462,1.34888,1,0.58798,0.995,0.79704,0.71266,2.46114,1.13757,0.000599216,0.000599216,0.000599216
8,50.4922,1.01136,1.20688,1.34793,1,0.8589,0.995,0.79119,0.73672,2.16753,1.11331,0.000671892,0.000671892,0.000671892
9,56.2119,1.07411,1.32075,1.39931,1,0.99494,0.995,0.78436,0.79022,1.89426,1.09224,0.000740608,0.000740608,0.000740608
10,62.4155,1.07446,1.48834,1.3764,0.85325,0.77636,0.92833,0.64347,0.9998,2.45768,1.32019,0.000805364,0.000805364,0.000805364
11,68.5835,0.92315,1.23521,1.22418,0.66398,0.52743,0.64517,0.39959,1.04302,2.62394,1.31048,0.00086616,0.00086616,0.00086616
12,75.331,0.95368,1.2692,1.20848,0.4671,0.6,0.48824,0.37861,0.84888,2.51237,1.17442,0.000922996,0.000922996,0.000922996
13,82.7609,1.04814,1.15546,1.27416,0.51166,0.76909,0.60013,0.44662,0.7808,2.32433,1.17839,0.000975872,0.000975872,0.000975872
14,89.1952,1.00913,1.23311,1.33734,0.51166,0.76909,0.60013,0.44662,0.7808,2.32433,1.17839,0.00102479,0.00102479,0.00102479
15,95.4718,1.0176,1.1084,1.2694,0.65653,0.76554,0.7988,0.59936,0.79104,2.08244,1.19037,0.00106974,0.00106974,0.00106974
16,101.628,0.97576,1.0781,1.24958,1,0.98442,0.995,0.7948,0.76115,1.53153,1.13429,0.00111074,0.00111074,0.00111074
17,107.75,1.04004,1.26879,1.32909,1,0.85464,0.97333,0.73656,0.8122,1.60753,1.18067,0.00114778,0.00114778,0.00114778
18,118.217,0.98516,1.30517,1.37222,1,0.85464,0.97333,0.73656,0.8122,1.60753,1.18067,0.00118085,0.00118085,0.00118085
19,135.645,1.04806,1.24637,1.23709,0.76212,0.73333,0.72041,0.21218,1.52911,3.34943,2.02334,0.00120997,0.00120997,0.00120997
20,153.104,1.03044,1.21756,1.31184,0.82451,0.94,0.9675,0.30223,1.55055,2.29184,2.00669,0.00123512,0.00123512,0.00123512
21,170.348,1.01508,1.15407,1.32157,0.82451,0.94,0.9675,0.30223,1.55055,2.29184,2.00669,0.001208,0.001208,0.001208
22,178.037,0.92969,1.17555,1.23387,0.91409,0.71068,0.89417,0.55086,1.21771,1.86471,1.48385,0.0011684,0.0011684,0.0011684
23,184.286,1.03788,1.10221,1.30073,0.92262,0.8,0.92032,0.69187,0.95871,1.51843,1.30581,0.0011288,0.0011288,0.0011288
24,190.193,1.08307,1.24797,1.3464,0.92262,0.8,0.92032,0.69187,0.95871,1.51843,1.30581,0.0010892,0.0010892,0.0010892
25,195.939,0.86922,1.07182,1.22067,0.98905,1,0.995,0.72588,0.99042,1.26613,1.37087,0.0010496,0.0010496,0.0010496
26,201.644,1.03337,1.04683,1.35923,0.98905,1,0.995,0.72588,0.99042,1.26613,1.37087,0.00101,0.00101,0.00101
27,207.359,0.90835,0.97699,1.18122,0.99619,1,0.995,0.74518,0.88165,1.22309,1.33463,0.0009704,0.0009704,0.0009704
28,213.159,1.03761,1.06645,1.33797,0.99566,1,0.995,0.79798,0.87021,1.14189,1.31572,0.0009308,0.0009308,0.0009308
29,218.927,0.85708,0.99362,1.25095,0.99566,1,0.995,0.79798,0.87021,1.14189,1.31572,0.0008912,0.0008912,0.0008912
30,224.807,0.96618,1.02754,1.25003,0.9961,1,0.995,0.82015,0.81737,1.16794,1.21539,0.0008516,0.0008516,0.0008516
31,230.563,0.94257,0.95133,1.21508,0.99483,1,0.995,0.86139,0.70278,1.05775,1.05311,0.000812,0.000812,0.000812
32,236.231,0.86154,0.85566,1.20046,0.99483,1,0.995,0.86139,0.70278,1.05775,1.05311,0.0007724,0.0007724,0.0007724
33,242.559,0.93571,1.05845,1.35849,0.99378,1,0.995,0.80319,0.70432,1.08521,1.04091,0.0007328,0.0007328,0.0007328
34,260.161,0.78495,0.93185,1.14496,0.99378,1,0.995,0.80319,0.70432,1.08521,1.04091,0.0006932,0.0006932,0.0006932
35,271.141,0.83939,0.92232,1.18102,0.99141,1,0.995,0.83507,0.6814,1.01621,1.00847,0.0006536,0.0006536,0.0006536
36,277.29,0.82955,0.93584,1.18923,0.99279,1,0.995,0.84788,0.65517,0.93626,0.99148,0.000614,0.000614,0.000614
37,283.466,0.9121,0.90648,1.19309,0.99279,1,0.995,0.84788,0.65517,0.93626,0.99148,0.0005744,0.0005744,0.0005744
38,289.75,0.84858,0.83804,1.12697,0.99322,1,0.995,0.83557,0.67492,0.89758,1.00921,0.0005348,0.0005348,0.0005348
39,295.789,0.89118,0.90362,1.25848,0.99339,1,0.995,0.84843,0.68115,0.87603,1.00656,0.0004952,0.0004952,0.0004952
40,301.892,0.90511,0.94822,1.23952,0.99339,1,0.995,0.84843,0.68115,0.87603,1.00656,0.0004556,0.0004556,0.0004556
41,308.234,0.732,1.14416,1.14995,0.99385,1,0.995,0.84409,0.66286,0.86593,0.98253,0.000416,0.000416,0.000416
42,314.22,0.78962,1.3921,1.14037,0.99385,1,0.995,0.84409,0.66286,0.86593,0.98253,0.0003764,0.0003764,0.0003764
43,320.073,0.67356,1.05758,1.08635,0.99343,1,0.995,0.85917,0.65602,0.87381,0.97313,0.0003368,0.0003368,0.0003368
44,326.008,0.72534,1.10747,1.16093,0.99311,1,0.995,0.85963,0.62904,0.88075,0.96262,0.0002972,0.0002972,0.0002972
45,331.892,0.72295,1.12366,1.21968,0.99311,1,0.995,0.85963,0.62904,0.88075,0.96262,0.0002576,0.0002576,0.0002576
46,337.931,0.67648,1.12733,1.14394,0.99479,1,0.995,0.85188,0.62647,0.88456,0.9625,0.000218,0.000218,0.000218
47,344.294,0.64682,1.05661,1.0948,0.99513,1,0.995,0.85397,0.63393,0.89405,0.96391,0.0001784,0.0001784,0.0001784
48,350.568,0.60232,1.03327,1.00187,0.99513,1,0.995,0.85397,0.63393,0.89405,0.96391,0.0001388,0.0001388,0.0001388
49,357.441,0.67359,1.05687,1.10967,0.99516,1,0.995,0.85397,0.6421,0.8903,0.96928,9.92e-05,9.92e-05,9.92e-05
50,363.589,0.66593,1.091,1.07547,0.99516,1,0.995,0.85397,0.6421,0.8903,0.96928,5.96e-05,5.96e-05,5.96e-05
